,map_id,station_x,community_id,lat,long,station_y,city,line,community_name,2019,2020,2021,2022,pct_19in22,pct_19in22viz
104,41150,Kedzie (Orange Line),55,41.804236,-87.704406,Kedzie (Orange Line),Chicago,Orange,BRIGHTON PARK,1009589,433671,475767,619023,61.0,226981.0
105,41160,Clinton (Green & Pink lines),29,41.885678,-87.641782,Clinton (Green & Pink lines),Chicago,Multi,NEAR WEST SIDE,1271865,408587,393404,580821,46.0,97336.0
106,41170,Garfield (Red Line),3,41.79542,-87.631157,Garfield (Red Line),Chicago,Red,FULLER PARK,940726,424323,387917,452276,48.0,110592.0
107,41180,Kedzie (Brown Line),14,41.965996,-87.708821,Kedzie (Brown Line),Chicago,Brown,ALBANY PARK,617967,245921,266103,338403,55.0,166375.0
108,41190,Jarvis (Red Line),10,42.015876,-87.669092,Jarvis (Red Line),Chicago,Red,ROGERS PARK,479462,198890,205151,262994,55.0,166375.0
109,41200,Argyle (Red Line),31,41.973453,-87.65853,Argyle (Red Line),Chicago,Red,UPTOWN,970130,367329,516188,717349,74.0,405224.0
110,41210,Wellington (Brown & Purple lines),57,41.936033,-87.653266,Wellington (Brown & Purple lines),Chicago,Multi,LAKE VIEW,899123,288545,309449,440678,49.0,117649.0
111,41220,"Fullerton (Red, Brown & Purple lines)",68,41.925051,-87.652866,"Fullerton (Red, Brown & Purple lines)",Chicago,Multi,LINCOLN PARK,3719544,1182831,1354840,2031024,55.0,166375.0
112,41230,47th (Red Line),3,41.810318,-87.63094,47th (Red Line),Chicago,Red,FULLER PARK,869861,403043,366112,404226,46.0,97336.0
113,41240,Addison (Blue Line),16,41.94738,-87.71906,Addison (Blue Line),Chicago,Blue,IRVING PARK,872016,299410,309898,413777,47.0,103823.0
114,41250,Central (Purple Line),,42.063987,-87.685617,Central (Purple Line),Evanston,Purple,,243564,102620,110562,125062,51.0,132651.0
115,41260,Austin (Green Line),26,41.887293,-87.774135,Austin (Green Line),Chicago,Green,AUSTIN,528164,236413,223376,272262,52.0,140608.0
116,41270,43rd (Green Line),4,41.816462,-87.619021,43rd (Green Line),Chicago,Green,GRAND BOULEVARD,285416,131847,115865,139988,49.0,117649.0
117,41280,Jefferson Park (Blue Line),11,41.970634,-87.760892,Jefferson Park (Blue Line),Chicago,Blue,JEFFERSON PARK,1896402,826774,834589,1042823,55.0,166375.0
118,41290,Kimball (Brown Line),14,41.967901,-87.713065,Kimball (Brown Line),Chicago,Brown,ALBANY PARK,1205094,495434,532675,684600,57.0,185193.0
119,41300,Loyola (Red Line),10,42.001073,-87.661061,Loyola (Red Line),Chicago,Red,ROGERS PARK,1663404,611755,673752,838606,50.0,125000.0
120,41310,Paulina (Brown Line),57,41.943623,-87.670907,Paulina (Brown Line),Chicago,Brown,LAKE VIEW,849667,272270,296024,416841,49.0,117649.0
121,41320,"Belmont (Red, Brown & Purple lines)",57,41.939751,-87.65338,"Belmont (Red, Brown & Purple lines)",Chicago,Multi,LAKE VIEW,3745165,1220771,1481708,1959145,52.0,140608.0
122,41330,Montrose (Blue Line),16,41.961539,-87.743574,Montrose (Blue Line),Chicago,Blue,IRVING PARK,767589,235161,189945,334262,44.0,85184.0
123,41340,LaSalle (Blue Line),38,41.875568,-87.631722,LaSalle (Blue Line),Chicago,Blue,LOOP,873340,266598,314398,463028,53.0,148877.0
124,41350,Oak Park (Green Line),,41.886988,-87.793783,Oak Park (Green Line),Oak Park,Green,,463379,140625,137007,181093,39.0,59319.0
125,41360,California (Green Line),28,41.88422,-87.696234,California (Green Line),Chicago,Green,EAST GARFIELD PARK,306794,147694,145351,181048,59.0,205379.0
126,41380,Bryn Mawr (Red Line),76,41.983504,-87.65884,Bryn Mawr (Red Line),Chicago,Red,EDGEWATER,1390206,474348,517955,634762,46.0,97336.0
127,41400,"Roosevelt (Red, Orange & Green lines)",34,41.867405,-87.62659,"Roosevelt (Red, Orange & Green lines)",Chicago,Multi,NEAR SOUTH SIDE,3466910,1313925,1518974,1945837,56.0,175616.0
128,41410,Chicago (Blue Line),25,41.896075,-87.655214,Chicago (Blue Line),Chicago,Blue,WEST TOWN,1182468,353976,405753,586427,50.0,125000.0
129,41420,Addison (Red Line),57,41.947428,-87.653626,Addison (Red Line),Chicago,Red,LAKE VIEW,2597371,639529,1235139,1590154,61.0,226981.0
130,41430,87th (Red Line),40,41.735372,-87.624717,87th (Red Line),Chicago,Red,CHATHAM,1186724,551680,470911,515205,43.0,79507.0
131,41440,Addison (Brown Line),46,41.947028,-87.674642,Addison (Brown Line),Chicago,Brown,NORTH CENTER,724269,217970,206748,302702,42.0,74088.0
132,41450,Chicago (Red Line),37,41.896671,-87.628176,Chicago (Red Line),Chicago,Red,NEAR NORTH SIDE,4501851,1409684,1663005,2079126,46.0,97336.0
133,41460,Irving Park (Brown Line),46,41.954521,-87.674868,Irving Park (Brown Line),Chicago,Brown,NORTH CENTER,947338,281442,273299,402515,42.0,74088.0
134,41480,Western (Brown Line),6,41.966163,-87.688502,Western (Brown Line),Chicago,Brown,LINCOLN SQUARE,1258060,436879,443591,590042,47.0,103823.0
135,41490,Harrison (Red Line),38,41.874039,-87.627479,Harrison (Red Line),Chicago,Red,LOOP,1212514,355774,500133,665812,55.0,166375.0
136,41500,Montrose (Brown Line),6,41.961756,-87.675047,Montrose (Brown Line),Chicago,Brown,LINCOLN SQUARE,793566,255709,260051,352212,44.0,85184.0
137,41510,Morgan (Green & Pink lines),29,41.885586,-87.652193,Morgan (Green & Pink lines),Chicago,Multi,NEAR WEST SIDE,1105090,380747,502886,789585,71.0,357911.0
138,41660,Lake (Red Line),38,41.884809,-87.627813,Lake (Red Line),Chicago,Red,LOOP,6450839,1902945,2065791,2749185,43.0,79507.0
139,41670,Conservatory (Green Line),28,41.884904,-87.716523,Conservatory (Green Line),Chicago,Green,EAST GARFIELD PARK,278726,168271,170252,182944,66.0,287496.0
140,41680,Oakton-Skokie (Yellow Line),,42.02624348,-87.74722084,Oakton-Skokie (Yellow Line),Skokie,Yellow,,274960,100396,97797,128043,47.0,103823.0
141,41690,Cermak-McCormick Place (Green Line),34,41.853115,-87.626402,Cermak-McCormick Place (Green Line),Chicago,Green,NEAR SOUTH SIDE,564724,192657,233485,332188,59.0,205379.0
142,41700,"Washington/Wabash (Brown, Green, Orange, Purple & Pink lines)",38,41.88322,-87.626189,"Washington/Wabash (Brown, Green, Orange, Purple & Pink lines)",Chicago,Multi,LOOP,3126070,1082287,1321376,1771921,57.0,185193.0
